,CVE_ART,COSTO_TOTAL_CALCULADO,MARGEN_TOTAL_CALCULADO
414,TP00019,4249.74,6910.26
415,TUE00162,1034.72,2764.98
416,TUE00348,1221.53,8612.27
417,TUE00105,1306.63,3650.1
418,TUS00035,266.21,1706.29
419,GAB00014,1516.24,19370.94
420,TUA00376,5870.53,8403.47
421,TP0040,137.48,298.24
422,TP0001,42.79,77.3
423,BP00251,112.24,521.36
424,BP00252,111.07,453.64
425,BP00253,112.24,521.36
426,BP00254,59.54,439.11
427,BP00255,110.37,505.63
428,BP00256,110.37,487.63
429,RP00187,90.16,771.84
430,TUS00002,319.57,1796.93
431,TUS00001,633.46,2188.54
432,TUE00081,359.16,1919.29
433,TUA00175,1509.17,7929.63
434,TUS00117,165.15,940.45
435,BC00010,720.65,4079.35
436,RP00150,0.72,2999.28
437,BB1 1/2X1/2-300W,220.0,215.0
438,MR01934,646.92,3107.2
439,BN00064,94.49,715.91
440,TP0026,113.59,244.17
441,TUS00017,459.5,2669.0
442,TUS00018,295.92,1581.18
443,TP0002,51.36,102.09
444,E1041959,5083.38,18.53
445,BC00006,4563.71,2849.29
446,P231A1D6K200,1257.53,1737.47
447,65014-38,735.34,3664.66
448,TUA00435,1511.46,2470.66
449,CM10E2050A00,70.86,464.26
450,TUA00420,3660.03,4198.19
451,EE00026,94.84,93.16
452,TU5/16X203V,321.87,328.13
453,TP0011,288.8,681.2
454,TP0012,50.54,259.46
455,TUA00017,1229.62,1961.87
456,TJ00046,204.07,703.93
457,TP0024,48.49,114.51
458,TUE00342,722.38,1602.62
459,TUE00103,497.3,2202.7
460,PJ14F10B0600,775.73,1234.27
461,PJ14J10B0600,404.78,600.22
462,TUA00148,1125.85,1723.65
463,TUE00132,432.3,832.79
464,P114Q1H90412,3965.36,5041.55
465,TUS00119,48.21,478.79
466,TUA00087,2869.44,8299.56
467,TUE00345,133.09,987.6
468,TUE00248,963.82,3716.18
469,TJ00090,403.47,463.56
470,TUE00351,148.76,791.24
471,TUE00352,148.76,791.24
472,E1041968,2779.23,1324.37
473,RP00183,7.6,899.4
474,RP00137,107.68,551.92
475,TUA00124,1943.52,2773.83
476,TP0012,202.16,1037.84
477,TUE00207,1974.74,4485.26
478,RC00027,123.23,637.02
479,TUE00172,4045.07,19950.17
480,PT00082,2428.6,2822.4
481,TP0002,135.14,154.86
482,TUE00350,223.66,811.34
483,BN00252,367.86,856.14
484,TUA00436,1667.21,2457.79
485,CAE00039,1685.48,1373.9
486,TEA00099,1305.87,2914.83
487,BC00027,797.54,1952.46
488,TUA00099,3959.26,6087.74
489,TP0001,42.79,67.21
490,CM10D2025A00,201.92,1105.99
491,CM10D2030A00,134.42,847.64
492,TP0004,172.46,187.54
493,TP0024,48.49,114.51
494,BL00055,213.87,462.85
495,TJ00043,48.85,951.15
496,TJ00043,146.54,2853.46
497,TUS00003,461.36,6490.64
498,BB1 1/2X1/2-300W,220.0,242.0
499,E1041960,4218.97,657.43
500,CS14E1020A00,28.9,439.2
